name,slug,aliases,category_key,category_name,market_status,recruitment_status,is_active,website_url,website_url_status,source_urls
Islak Burger,islak-burger,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2401/islak-burger/
Jack & Jones,jack-and-jones,,fashion,Odzież i obuwie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2443/jack-jones/
Jasmine Oriental Massage & Spa,jasmine-oriental-massage-and-spa,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2264/jasmine-oriental-massage-spa/
Jesion Inwestycje,jesion-inwestycje,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2418/jesion-inwestycje/
Jump4U Parki Trampolin,jump4u-parki-trampolin,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2348/jump4u-parki-trampolin/
Kangu Self Storage – magazyny samoobsługowe,kangu-self-storage-magazyny-samoobsugowe,,services,Usługi dla konsumentów,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/uslugi-dla-klientow-indywidualnych/kangu-self-storage-magazyny-samoobslugowe/
KawoWiniarnia,kawowiniarnia,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2382/kawowiniarnia/
Kebab u Buły,kebab-u-buy,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2429/kebab-buly/
Kebab u Pajdy,kebab-u-pajdy,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2430/kebab-pajdy/
KFC,kfc,,gastronomy,Gastronomia,active,unknown,True,https://kfc.pl/,unverified_seed,https://kfc.pl/o-nas
Kids&Us,kids-and-us,,education,Edukacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2416/kids-us/
KnockKnock,knockknock,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2284/knockknock/
Kodano Optyk,kodano-optyk,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2176/kodano-optyk/
Koku Sushi,koku-sushi,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1286/koku-sushi/
Komandor,komandor,,home-garden,Dom i ogród,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/176/komandor/
Komfort,komfort,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/454/komfort/
Kosmetyczne Instytuty Dr Irena Eris,kosmetyczne-instytuty-dr-irena-eris,,beauty,Uroda i kosmetyki,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/92/kosmetyczne-instytuty-dr-irena-eris/
Kosmetyczny Instytut Dr Irena Eris,kosmetyczny-instytut-dr-irena-eris,,beauty,Uroda i kosmetyki,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/uroda-i-kosmetyki/dr-irena-eris-kosmetyczne-instytuty/
Kołacz na Okrągło,kolacz-na-okraglo,,gastronomy,Gastronomia,uncertain,unknown,True,https://kolaczonakraglo.pl,unverified_seed,https://kolaczonakraglo.pl
Krishome,krishome,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2319/krishome/
Kross,kross,KROSS,services,Usługi dla konsumentów,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2433/kross/ | https://franczyzawpolsce.pl/baza-sieci/sport-i-zdrowie/kross/
